_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
3629486,36549,BP-34948,1140,Bloor St W,Bloor St W,North,Dufferin St,West,NA,09,Bloordale Village,Ring,Existing,0,309979.578,4835544.942,-79.435781032,43.659830834,"c(-79.4357810323238, 43.6598308363418)"
3629487,36550,BP-22101,500,University Ave,Simcoe St,East,University Ave,West,NA,11,NA,Ring,Existing,0,313717.366,4835061.589,-79.389446134,43.655444589,"c(-79.3894461395255, 43.6554445868597)"
3629488,36551,BP-26832,109,Niagara St,Niagara St,South,Tecumseth St,East,NA,10,NA,Ring,Existing,0,312540.742,4833501.002,-79.404055785,43.641410369,"c(-79.4040557837503, 43.6414103710313)"
3629489,36552,BP-30365,15,Larch St,Larch St,East,Ln S Dundas W Larch,South,NA,10,NA,Ring,Existing,0,313127.639,4834752.907,-79.396762076,43.652672868,"c(-79.3967620817991, 43.6526728718286)"
3629490,36553,BP-23686,13,Charles St W,Charles St W,South,St Nicholas St,West,NA,13,Bloor-Yorkville,Ring,Existing,0,313899.201,4836510.323,-79.387167409,43.668482907,"c(-79.3871674080743, 43.6684829108077)"
3629491,36554,BP-21447,40,Adelaide St E,Lombard St,South,Spice Mill Lane,West,NA,13,St. Lawrence Market Neighbourhood,Ring,Existing,0,314767.204,4834622.214,-79.376438811,43.651476296,"c(-79.3764388141571, 43.651476296868)"
3629492,36555,BP-26033,180,Danforth Ave,Danforth Ave,North,Ellerbeck St,West,NA,14,Broadview Danforth,Ring,Existing,0,316332.155,4837421.741,-79.356978713,43.676653093,"c(-79.3569787119441, 43.6766530961329)"
3629493,36556,BP-30724,3605,Dundas St W,Dundas St W,South,Brookside Ave,East,NA,04,NA,Ring,Existing,0,305307.796,4836187.155,-79.493703492,43.665629474,"c(-79.4937034881854, 43.6656294800341)"
3629494,36557,BP-41605,1627,Dundas St W,Dundas St W,South,Brock Ave,West,NA,09,Little Portugal,Ring,Existing,0,309966.646,4834435.906,-79.435951978,43.649848101,"c(-79.4359519802317, 43.6498481066247)"
3629495,36558,BP-20046,1168A,Bay St,Bay St,West,Charles St W,North,NA,11,Bloor-Yorkville,Ring,Existing,0,313731.373,4836552.999,-79.389247817,43.668869083,"c(-79.3892478111901, 43.6688690861785)"
3629496,36559,BP-26256,378,Eglinton Ave W,Eglinton Ave W,North,Braemar Ave,North,NA,08,The Eglinton Way,Ring,Existing,0,312080.556,4840502.68,-79.409665163,43.704439316,"c(-79.4096651620311, 43.7044393214021)"
3629497,36560,BP-30987,109,Queens Quay W,Queens Quay W,South,York St,East,NA,10,The Waterfront,Ring,Existing,0,314512.952,4833351.463,-79.379613556,43.640041189,"c(-79.3796135573831, 43.6400411873753)"
3629498,36561,BP-44169,337,Broadview Ave,Broadview Ave,East,First Ave,North,NA,14,NA,Ring,Existing,0,316717.874,4836098.478,-79.352224284,43.664735924,"c(-79.3522242842531, 43.66473592472)"
3629499,36562,BP-20542,504,Church St,Church St,West,Alexander St,North,NA,13,Church-Wellesley Village,Ring,Existing,0,314446.536,4836029.85,-79.38038891,43.664151121,"c(-79.3803889057618, 43.66415112055)"
3629500,36564,BP-28192,2286,Bloor St W,Bloor St W,North,Durie St,East,NA,04,Bloor West Village,Ring,Existing,0,306521.208,4834527.745,-79.478662843,43.650690734,"c(-79.4786628489356, 43.6506907335718)"
3629501,36565,BP-44262,90,Simcoe St,Pearl St,North,Simcoe St,West,NA,10,Toronto Entertainment District,Ring,Existing,0,313914.814,4834224.217,-79.387012391,43.647904721,"c(-79.3870123958959, 43.6479047217738)"
