occupancy_date,id,occupied_beds
2021-07-05,7299141,NA
2021-07-05,7299142,27
2021-07-05,7299143,15
2021-07-05,7299144,NA
2021-07-05,7299145,NA
2021-07-05,7299146,NA
2021-07-05,7299147,NA
2021-07-05,7299148,12
2021-07-05,7299149,NA
2021-07-05,7299150,NA
2021-07-05,7299151,NA
2021-07-05,7299152,6
2021-07-05,7299153,NA
2021-07-05,7299154,NA
2021-07-05,7299155,NA
2021-07-05,7299156,33
2021-07-05,7299157,NA
2021-07-05,7299158,23
2021-07-05,7299159,NA
2021-07-05,7299160,NA
2021-07-05,7299161,NA
2021-07-05,7299162,NA
2021-07-05,7299163,66
2021-07-05,7299164,49
2021-07-05,7299165,33
2021-07-05,7299166,52
2021-07-05,7299167,55
2021-07-05,7299168,17
2021-07-05,7299169,10
2021-07-05,7299170,47
2021-07-05,7299171,15
2021-07-05,7299172,NA
2021-07-05,7299173,3
2021-07-05,7299174,3
2021-07-05,7299175,52
2021-07-05,7299176,21
2021-07-05,7299177,1
2021-07-05,7299178,NA
2021-07-05,7299179,50
2021-07-05,7299180,27
2021-07-05,7299181,43
2021-07-05,7299182,49
2021-07-05,7299183,NA
2021-07-05,7299184,39
2021-07-05,7299185,NA
2021-07-05,7299186,NA
2021-07-05,7299187,22
2021-07-05,7299188,41
2021-07-05,7299189,NA
2021-07-05,7299190,14
2021-07-05,7299191,15
2021-07-05,7299192,3
2021-07-05,7299193,11
2021-07-05,7299194,31
2021-07-05,7299195,23
2021-07-05,7299196,NA
2021-07-05,7299197,26
2021-07-05,7299198,23
2021-07-05,7299199,25
2021-07-05,7299200,NA
2021-07-05,7299201,45
2021-07-05,7299202,2
2021-07-05,7299203,25
2021-07-05,7299204,20
2021-07-05,7299205,19
2021-07-05,7299206,5
2021-07-05,7299207,NA
2021-07-05,7299208,45
2021-07-05,7299209,NA
2021-07-05,7299210,48
2021-07-05,7299211,19
2021-07-05,7299212,49
2021-07-05,7299213,28
2021-07-05,7299214,43
2021-07-05,7299215,NA
2021-07-05,7299216,NA
2021-07-05,7299217,123
2021-07-05,7299218,37
2021-07-05,7299219,90
2021-07-05,7299220,32
2021-07-05,7299221,3
2021-07-05,7299222,75
2021-07-05,7299223,17
2021-07-05,7299224,NA
2021-07-05,7299225,15
2021-07-05,7299226,25
2021-07-05,7299227,35
2021-07-05,7299228,14
2021-07-05,7299229,9
2021-07-05,7299230,NA
2021-07-05,7299231,9
2021-07-05,7299232,14
2021-07-05,7299233,17
2021-07-05,7299234,12
2021-07-05,7299235,24
2021-07-05,7299236,19
2021-07-05,7299237,43
2021-07-05,7299238,NA
2021-07-05,7299239,28
2021-07-05,7299240,NA
2021-07-05,7299241,NA
2021-07-05,7299242,59
2021-07-05,7299243,NA
2021-07-05,7299244,49
2021-07-05,7299245,NA
2021-07-05,7299246,54
2021-07-05,7299247,NA
2021-07-05,7299248,166
2021-07-05,7299249,32
2021-07-05,7299250,NA
2021-07-05,7299251,17
2021-07-05,7299252,10
2021-07-05,7299253,39
2021-07-05,7299254,NA
2021-07-05,7299255,5
2021-07-05,7299256,14
2021-07-05,7299257,34
2021-07-05,7299258,3
2021-07-05,7299259,15
2021-07-05,7299260,NA
2021-07-05,7299261,24
2021-07-05,7299262,24
2021-07-05,7299263,22
2021-07-05,7299264,NA
2021-07-05,7299265,NA
2021-07-05,7299266,11
2021-07-05,7299267,8
2021-07-05,7299268,6
2021-07-05,7299269,24
2021-07-06,7299270,NA
2021-07-06,7299271,NA
2021-07-06,7299272,NA
2021-07-06,7299273,7
2021-07-06,7299274,NA
2021-07-06,7299275,NA
2021-07-06,7299276,NA
2021-07-06,7299277,NA
2021-07-06,7299278,NA
2021-07-06,7299279,NA
2021-07-06,7299280,NA
2021-07-06,7299281,25
2021-07-06,7299282,15
2021-07-06,7299283,NA
2021-07-06,7299284,NA
2021-07-06,7299285,NA
2021-07-06,7299286,NA
2021-07-06,7299287,12
2021-07-06,7299288,NA
2021-07-06,7299289,NA
2021-07-06,7299290,NA
2021-07-06,7299291,6
2021-07-06,7299292,NA
2021-07-06,7299293,NA
2021-07-06,7299294,NA
2021-07-06,7299295,33
2021-07-06,7299296,NA
2021-07-06,7299297,23
2021-07-06,7299298,NA
2021-07-06,7299299,NA
2021-07-06,7299300,NA
2021-07-06,7299301,NA
2021-07-06,7299302,65
2021-07-06,7299303,50
2021-07-06,7299304,34
2021-07-06,7299305,53
2021-07-06,7299306,59
2021-07-06,7299307,17
2021-07-06,7299308,8
2021-07-06,7299309,46
2021-07-06,7299310,14
2021-07-06,7299311,NA
2021-07-06,7299312,3
2021-07-06,7299313,3
2021-07-06,7299314,53
2021-07-06,7299315,21
2021-07-06,7299316,1
2021-07-06,7299317,NA
2021-07-06,7299318,48
2021-07-06,7299319,27
2021-07-06,7299320,43
2021-07-06,7299321,45
2021-07-06,7299322,NA
2021-07-06,7299323,40
2021-07-06,7299324,NA
2021-07-06,7299325,NA
2021-07-06,7299326,22
2021-07-06,7299327,41
2021-07-06,7299328,NA
2021-07-06,7299329,14
2021-07-06,7299330,15
2021-07-06,7299331,3
2021-07-06,7299332,11
2021-07-06,7299333,31
2021-07-06,7299334,23
2021-07-06,7299335,NA
2021-07-06,7299336,26
2021-07-06,7299337,23
2021-07-06,7299338,25
2021-07-06,7299339,NA
2021-07-06,7299340,44
2021-07-06,7299341,1
2021-07-06,7299342,25
2021-07-06,7299343,20
2021-07-06,7299344,25
2021-07-06,7299345,5
2021-07-06,7299346,NA
2021-07-06,7299347,43
2021-07-06,7299348,NA
2021-07-06,7299349,42
2021-07-06,7299350,19
2021-07-06,7299351,49
2021-07-06,7299352,30
2021-07-06,7299353,42
2021-07-06,7299354,NA
2021-07-06,7299355,NA
2021-07-06,7299356,123
2021-07-06,7299357,37
2021-07-06,7299358,90
2021-07-06,7299359,32
2021-07-06,7299360,3
2021-07-06,7299361,75
2021-07-06,7299362,18
2021-07-06,7299363,NA
2021-07-06,7299364,15
2021-07-06,7299365,25
2021-07-06,7299366,35
2021-07-06,7299367,15
2021-07-06,7299368,9
2021-07-06,7299369,NA
2021-07-06,7299370,9
2021-07-06,7299371,14
2021-07-06,7299372,16
2021-07-06,7299373,12
2021-07-06,7299374,24
2021-07-06,7299375,16
2021-07-06,7299376,43
2021-07-06,7299377,NA
2021-07-06,7299378,28
2021-07-06,7299379,NA
2021-07-06,7299380,NA
2021-07-06,7299381,58
2021-07-06,7299382,NA
2021-07-06,7299383,48
2021-07-06,7299384,NA
2021-07-06,7299385,54
2021-07-06,7299386,NA
2021-07-06,7299387,163
2021-07-06,7299388,33
2021-07-06,7299389,NA
2021-07-06,7299390,18
2021-07-06,7299391,10
2021-07-06,7299392,36
2021-07-06,7299393,NA
2021-07-06,7299394,5
2021-07-06,7299395,16
2021-07-06,7299396,31
2021-07-06,7299397,3
2021-07-06,7299398,17
2021-07-06,7299399,NA
2021-07-06,7299400,24
2021-07-06,7299401,25
2021-07-06,7299402,22
2021-07-06,7299403,NA
